ID_REF,GSM1583224,GSM1583225,GSM1583226,GSM1583227,GSM1583228,GSM1583229,GSM1583230,GSM1583231,GSM1583232,GSM1583233,GSM1583234,GSM1583235,GSM1583236
92,8.104444119,7.538564273,7.850055281,7.455981799,7.996084042,7.605569424,7.485731256,7.721710376,7.740952908,8.06892209,7.951432407,8.450109546,7.813947863
93,4.162445321,4.457996608,4.639166081,4.437539448,4.530948361,4.294170886,4.623216732,4.189993032,4.000463343,4.390249386,4.313966736,4.231444345,4.399676349
94,3.307080562,3.307080562,3.334983911,3.307080562,3.307080562,3.307080562,3.774879321,3.307080562,3.307080562,3.459604016,3.307080562,3.215398348,3.851840896
95,3.406182273,3.024208541,3.141835044,2.999433436,2.976343408,2.998443388,3.123532316,2.970370435,3.213468285,3.291212124,3.284583075,2.985916234,2.968584437
97,8.128278969,9.30586253,8.604681812,8.288186368,8.893212649,7.982975621,8.15117511,8.10421683,8.360889739,8.272679528,8.355479499,7.715864901,8.170565574
98,6.81659789,6.99144834,6.49618375,7.398916684,6.636448637,6.827554345,6.278735264,6.243689831,7.101560601,7.185296279,6.738862734,6.253210337,6.878371733
100,2.322801727,2.322742746,2.323514915,2.330237001,2.330857859,2.37815513,2.571461827,2.322742746,2.322742746,2.322742746,2.322742746,2.350595389,2.356807824
101,3.29632132,3.332791744,3.192509247,3.247222667,2.745867225,3.223320263,3.553082584,3.372506842,3.369956541,3.147334211,3.465597777,3.174121571,3.045880769
102,6.881536905,6.945568677,7.208924376,6.882657137,7.299238776,7.199218019,7.401884675,7.033973163,7.126641316,7.260900035,6.991997693,6.910643527,7.986963368
103,8.983573488,8.911356419,9.385195949,9.171227276,8.888701783,9.372205976,9.822896333,8.840175963,8.658048148,8.937082116,8.617191158,9.784723345,8.843339815
104,2.339502436,2.38101966,2.324842349,2.322217638,2.347454538,2.321013111,2.41358825,2.350995526,2.351273885,2.324179137,2.321994117,2.32141286,2.321485911
105,2.414239109,2.310530042,2.302335427,2.306905972,2.355032262,2.342430917,2.314598328,2.302335427,2.314393249,2.302335427,2.388630099,2.302335427,2.302335427
107,2.30796327,2.35737787,2.30796327,2.306233857,2.30796327,2.30796327,2.31040592,2.30796327,2.306278947,2.30796327,2.30796327,2.329548999,2.30387546
108,5.280490009,4.368901553,5.842436097,5.200035034,4.884493534,4.984100598,5.195436046,5.326651339,5.336116605,4.947890159,4.79136079,5.787898953,4.371050071
109,2.456018382,2.445993335,2.346083821,2.358646162,2.425116777,2.448553206,2.476569559,2.444357686,2.445993335,2.45847729,2.445993335,2.445993335,2.486227655
111,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427
112,2.875426175,2.888065062,3.235533629,2.888065062,2.888065062,2.888065062,3.640257174,2.875426175,3.867606319,2.877217804,2.913681165,2.877217804,2.888065062
113,3.156635873,2.99826013,3.42379748,3.038257883,3.089769285,3.320920724,3.417764789,3.252703185,3.354108078,3.232664696,2.84618693,3.308805159,3.908835828
114,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427
115,4.668752233,4.609330464,4.599867489,4.360948745,4.497560751,4.395493791,4.40258065,4.478520663,4.493358693,4.403863138,4.374310682,4.24334456,4.219131313
116,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427
117,2.302335427,2.303313946,2.302335427,2.302335427,2.302335427,2.302335427,2.381402709,2.302335427,2.302335427,2.302335427,2.322217402,2.302335427,2.302335427
118,6.220866953,6.47002241,7.213870746,6.238615518,7.03782979,6.10983529,6.437512031,6.663890356,6.377893485,6.633341932,6.844823773,6.416465646,6.630759855
119,2.307285464,2.323695405,2.307285464,2.323301839,2.307285464,2.307285464,2.309329403,2.325260091,2.322700461,2.307740527,2.308095081,2.307285464,2.308489836
120,9.058395277,8.775986857,8.908789229,9.126341336,9.197487882,8.949541329,8.655891468,9.052002459,9.200685011,9.674512514,8.89432575,9.092387408,9.499961476
